252.5;5.475;15
252.5;5.475;5
252.5;5.475;4
252.119;5.475;2.087
251.036;5.475;0.464
249.413;5.475;-0.619
247.5;5.475;-1
245.01;5.475;-1
-25.01;5.475;-1
-26.923;5.475;-0.619
-28.546;5.475;0.464
-29.629;5.475;2.087
-30.01;5.475;4
-30.01;5.475;5
252.5;35.575;5
252.5;35.575;4
252.119;35.575;2.087
251.036;35.575;0.464
249.413;35.575;-0.619
247.5;35.575;-1
245.01;35.575;-1
-25.01;35.575;-1
-26.923;35.575;-0.619
-28.546;35.575;0.464
-29.629;35.575;2.087
-30.01;35.575;4
-30.01;35.575;5
252.5;65.675;5
252.5;65.675;4
252.119;65.675;2.087
251.036;65.675;0.464
249.413;65.675;-0.619
247.5;65.675;-1
245.01;65.675;-1
-25.01;65.675;-1
-26.923;65.675;-0.619
-28.546;65.675;0.464
-29.629;65.675;2.087
-30.01;65.675;4
-30.01;65.675;5
252.5;95.775;5
252.5;95.775;4
252.119;95.775;2.087
251.036;95.775;0.464
249.413;95.775;-0.619
247.5;95.775;-1
245.01;95.775;-1
-25.01;95.775;-1
-26.923;95.775;-0.619
-28.546;95.775;0.464
-29.629;95.775;2.087
-30.01;95.775;4
-30.01;95.775;5
252.5;125.875;5
252.5;125.875;4
252.119;125.875;2.087
251.036;125.875;0.464
249.413;125.875;-0.619
247.5;125.875;-1
245.01;125.875;-1
-25.01;125.875;-1
-26.923;125.875;-0.619
-28.546;125.875;0.464
-29.629;125.875;2.087
-30.01;125.875;4
-30.01;125.875;15
114.864;74.667;15
114.864;74.667;5
114.864;74.667;3
114.66;76.435;2.938
113.834;78.012;2.875
112.498;79.187;2.813
110.829;79.805;2.75
109.049;79.782;2.688
107.398;79.123;2.625
106.094;77.915;2.563
105.31;76.32;2.5
105.15;74.549;2.438
105.637;72.839;2.375
106.704;71.42;2.313
108.209;70.478;2.25
109.952;70.138;2.188
111.701;70.447;2.125
113.222;71.364;2.063
114.312;72.763;2
114.827;74.46;1.938
114.698;76.229;1.875
113.944;77.835;1.813
112.663;79.062;1.75
111.029;79.747;1.688
109.258;79.8;1.625
107.586;79.214;1.563
106.236;78.067;1.5
105.387;76.512;1.438
105.154;74.757;1.375
105.565;73.036;1.313
106.567;71.577;1.25
108.026;70.575;1.188
109.747;70.163;1.125
111.499;70.396;1.063
113.051;71.243;1
114.196;72.59;0.938
114.781;74.258;0.875
114.728;76.025;0.813
114.046;77.654;0.75
112.824;78.929;0.688
111.226;79.68;0.625
109.465;79.808;0.563
107.775;79.296;0.5
106.384;78.212;0.438
105.473;76.702;0.375
105.166;74.965;0.313
105.503;73.233;0.25
106.438;71.738;0.188
107.847;70.679;0.125
109.541;70.197;0.063
111.296;70.354;0
112.877;71.131;-0.063
114.074;72.424;-0.125
114.727;74.058;-0.188
114.75;75.818;-0.25
114.139;77.469;-0.313
112.977;78.79;-0.375
111.418;79.606;-0.438
109.672;79.809;-0.5
107.969;79.371;-0.563
106.538;78.351;-0.625
105.567;76.885;-0.688
105.187;75.169;-0.75
105.449;73.433;-0.813
106.316;71.906;-0.875
107.673;70.792;-0.938
109.34;70.239;-1
111.093;70.321;-1.063
112.699;71.027;-1.125
113.945;72.262;-1.188
114.664;73.861;-1.25
114.761;75.613;-1.313
114.224;77.282;-1.375
113.124;78.646;-1.438
111.608;79.524;-1.5
109.878;79.799;-1.563
108.164;79.436;-1.625
106.695;78.481;-1.688
105.668;77.065;-1.75
105.217;75.374;-1.813
105.404;73.634;-1.875
106.202;72.077;-1.938
107.506;70.91;-2
109.14;70.289;-2.063
110.888;70.297;-2.125
112.517;70.931;-2.188
113.809;72.108;-2.25
114.594;73.67;-2.313
114.765;75.407;-2.375
114.301;77.09;-2.438
113.264;78.495;-2.5
111.792;79.434;-2.563
110.081;79.782;-2.625
108.361;79.493;-2.688
106.86;78.606;-2.75
105.777;77.239;-2.813
105.256;75.575;-2.875
105.368;73.834;-2.938
106.096;72.252;-3
107.343;71.036;-3.063
108.944;70.349;-3.125
110.684;70.282;-3.188
112.333;70.844;-3.25
113.669;71.959;-3.313
114.515;73.48;-3.375
114.759;75.202;-3.438
114.369;76.898;-3.5
113.396;78.34;-3.563
111.972;79.337;-3.625
110.285;79.755;-3.688
108.561;79.541;-3.75
107.028;78.721;-3.813
105.891;77.407;-3.875
105.303;75.773;-3.938
105.34;74.038;-4
105.997;72.431;-4.063
107.188;71.168;-4.125
108.752;70.415;-4.188
110.48;70.275;-4.25
112.144;70.764;-4.313
113.521;71.818;-4.375
114.428;73.295;-4.438
114.745;75;-4.5
114.383;76.818;-4.5
113.354;78.359;-4.5
111.812;79.389;-4.5
109.995;79.75;-4.5
108.177;79.389;-4.5
106.636;78.359;-4.5
105.606;76.818;-4.5
105.245;75;-4.5
105.606;73.182;-4.5
106.636;71.641;-4.5
108.177;70.612;-4.5
109.995;70.25;-4.5
111.812;70.612;-4.5
113.354;71.641;-4.5
114.383;73.182;-4.5
114.745;75;-4.5
114.748;75.314;-4.5
114.977;76.549;-4.5
115.012;76.615;-4.5
115.081;76.759;-4.5
115.145;76.925;-4.5
115.2;77.114;-4.5
115.244;77.324;-4.5
115.273;77.556;-4.5
115.284;77.808;-4.5
115.275;78.079;-4.5
115.241;78.367;-4.5
115.181;78.669;-4.5
115.092;78.983;-4.5
114.971;79.305;-4.5
114.818;79.634;-4.5
114.63;79.964;-4.5
114.406;80.292;-4.5
114.147;80.614;-4.5
113.851;80.926;-4.5
113.519;81.224;-4.5
113.153;81.503;-4.5
112.753;81.76;-4.5
112.323;81.99;-4.5
111.863;82.19;-4.5
111.377;82.356;-4.5
110.868;82.486;-4.5
110.34;82.576;-4.5
109.796;82.625;-4.5
109.242;82.629;-4.5
108.68;82.589;-4.5
108.115;82.502;-4.5
107.552;82.369;-4.5
106.995;82.189;-4.5
106.45;81.963;-4.5
105.919;81.691;-4.5
105.407;81.375;-4.5
104.92;81.016;-4.5
104.459;80.616;-4.5
104.029;80.178;-4.5
103.634;79.705;-4.5
103.277;79.199;-4.5
102.96;78.664;-4.5
102.685;78.103;-4.5
102.456;77.52;-4.5
102.274;76.918;-4.5
102.141;76.303;-4.5
102.057;75.677;-4.5
102.023;75.045;-4.5
102.041;74.411;-4.5
102.109;73.78;-4.5
102.228;73.155;-4.5
102.397;72.541;-4.5
102.615;71.942;-4.5
102.881;71.361;-4.5
103.192;70.804;-4.5
103.548;70.273;-4.5
103.945;69.771;-4.5
104.382;69.303;-4.5
104.855;68.871;-4.5
105.361;68.479;-4.5
105.898;68.128;-4.5
106.461;67.821;-4.5
107.047;67.56;-4.5
107.652;67.347;-4.5
108.273;67.183;-4.5
108.905;67.07;-4.5
109.544;67.008;-4.5
110.187;66.997;-4.5
110.828;67.038;-4.5
111.464;67.13;-4.5
112.09;67.273;-4.5
112.703;67.465;-4.5
113.299;67.707;-4.5
113.874;67.995;-4.5
114.423;68.329;-4.5
114.944;68.705;-4.5
115.433;69.123;-4.5
115.888;69.578;-4.5
116.304;70.068;-4.5
116.829;70.798;-4.5
117.478;71.873;-4.5
117.954;72.818;-4.5
118.3;73.666;-4.5
118.557;74.477;-4.5
118.736;75.255;-4.5
118.847;76.009;-4.5
118.895;76.747;-4.5
118.886;77.375;-4.5
118.827;78.09;-4.5
118.711;78.794;-4.5
118.539;79.485;-4.5
118.312;80.16;-4.5
118.03;80.818;-4.5
117.695;81.455;-4.5
117.306;82.068;-4.5
116.865;82.653;-4.5
116.374;83.207;-4.5
115.835;83.725;-4.5
115.249;84.202;-4.5
114.62;84.637;-4.5
113.95;85.023;-4.5
113.244;85.359;-4.5
112.504;85.639;-4.5
111.736;85.863;-4.5
110.942;86.025;-4.5
110.128;86.125;-4.5
109.299;86.16;-4.5
108.462;86.127;-4.5
107.621;86.027;-4.5
106.784;85.857;-4.5
105.956;85.619;-4.5
105.143;85.313;-4.5
104.352;84.94;-4.5
103.588;84.502;-4.5
102.857;84.001;-4.5
102.164;83.439;-4.5
101.516;82.82;-4.5
100.916;82.149;-4.5
100.37;81.428;-4.5
99.882;80.662;-4.5
99.455;79.857;-4.5
99.093;79.018;-4.5
98.798;78.149;-4.5
98.574;77.258;-4.5
98.421;76.349;-4.5
98.342;75.428;-4.5
98.337;74.503;-4.5
98.406;73.578;-4.5
98.55;72.66;-4.5
98.767;71.755;-4.5
99.056;70.869;-4.5
99.416;70.009;-4.5
99.845;69.179;-4.5
100.339;68.386;-4.5
100.895;67.634;-4.5
101.511;66.928;-4.5
102.182;66.274;-4.5
102.903;65.675;-4.5
103.671;65.136;-4.5
104.48;64.66;-4.5
105.325;64.25;-4.5
106.2;63.91;-4.5
107.101;63.64;-4.5
108.02;63.444;-4.5
108.952;63.322;-4.5
109.892;63.275;-4.5
110.519;63.294;-4.5
111.455;63.372;-4.5
112.382;63.526;-4.5
113.294;63.753;-4.5
114.185;64.053;-4.5
115.049;64.423;-4.5
115.881;64.862;-4.5
116.714;65.391;-4.5
117.58;66.044;-4.5
118.422;66.791;-4.5
119.222;67.626;-4.5
119.961;68.533;-4.5
120.624;69.495;-4.5
121.201;70.495;-4.5
121.687;71.52;-4.5
122.077;72.55;-4.5
122.383;73.606;-4.5
122.601;74.669;-4.5
122.731;75.735;-4.5
122.775;76.799;-4.5
122.733;77.855;-4.5
122.608;78.899;-4.5
122.399;79.926;-4.5
122.11;80.932;-4.5
121.74;81.911;-4.5
121.293;82.859;-4.5
120.769;83.771;-4.5
120.172;84.641;-4.5
119.504;85.464;-4.5
118.768;86.234;-4.5
117.968;86.948;-4.5
117.107;87.599;-4.5
116.191;88.183;-4.5
115.223;88.696;-4.5
114.209;89.132;-4.5
113.156;89.489;-4.5
112.069;89.762;-4.5
110.955;89.948;-4.5
109.823;90.045;-4.5
108.678;90.05;-4.5
107.528;89.964;-4.5
106.381;89.784;-4.5
105.246;89.511;-4.5
104.129;89.145;-4.5
103.038;88.688;-4.5
101.982;88.142;-4.5
100.968;87.51;-4.5
100.464;87.136;-4.5
99.528;86.381;-4.5
98.652;85.55;-4.5
97.842;84.647;-4.5
97.105;83.678;-4.5
96.445;82.649;-4.5
95.868;81.568;-4.5
95.378;80.44;-4.5
94.979;79.273;-4.5
94.675;78.076;-4.5
94.467;76.854;-4.5
94.357;75.618;-4.5
94.347;74.375;-4.5
94.437;73.132;-4.5
94.627;71.899;-4.5
94.916;70.684;-4.5
95.301;69.494;-4.5
95.782;68.337;-4.5
96.354;67.222;-4.5
97.014;66.155;-4.5
97.759;65.144;-4.5
98.582;64.196;-4.5
99.479;63.316;-4.5
100.444;62.512;-4.5
101.469;61.787;-4.5
102.55;61.147;-4.5
103.678;60.595;-4.5
104.846;60.136;-4.5
106.019;59.78;-4.5
107.246;59.512;-4.5
108.49;59.343;-4.5
109.744;59.273;-4.5
110.999;59.304;-4.5
112.248;59.434;-4.5
113.483;59.663;-4.5
114.695;59.99;-4.5
115.878;60.411;-4.5
117.025;60.923;-4.5
118.131;61.519;-4.5
119.189;62.194;-4.5
120.196;62.946;-4.5
121.145;63.768;-4.5
122.034;64.655;-4.5
122.858;65.602;-4.5
123.616;66.603;-4.5
124.303;67.655;-4.5
124.915;68.751;-4.5
125.449;69.888;-4.5
125.899;71.06;-4.5
126.265;72.261;-4.5
126.545;73.486;-4.5
126.736;74.727;-4.5
126.837;75.979;-4.5
126.849;77.234;-4.5
126.769;78.488;-4.5
126.6;79.732;-4.5
126.341;80.961;-4.5
125.993;82.167;-4.5
125.556;83.345;-4.5
125.035;84.487;-4.5
124.431;85.588;-4.5
123.748;86.642;-4.5
122.991;87.644;-4.5
122.164;88.589;-4.5
121.271;89.472;-4.5
120.317;90.289;-4.5
119.308;91.037;-4.5
118.248;91.71;-4.5
117.143;92.305;-4.5
115.997;92.82;-4.5
114.819;93.254;-4.5
113.613;93.604;-4.5
112.386;93.871;-4.5
111.143;94.053;-4.5
109.891;94.149;-4.5
108.635;94.157;-4.5
107.382;94.079;-4.5
106.137;93.916;-4.5
104.905;93.67;-4.5
103.693;93.344;-4.5
102.505;92.936;-4.5
101.348;92.446;-4.5
100.226;91.882;-4.5
99.144;91.244;-4.5
98.108;90.536;-4.5
97.12;89.761;-4.5
96.184;88.924;-4.5
95.303;88.028;-4.5
94.483;87.077;-4.5
93.729;86.073;-4.5
93.041;85.022;-4.5
92.422;83.93;-4.5
91.874;82.8;-4.5
91.4;81.637;-4.5
91.003;80.445;-4.5
90.685;79.231;-4.5
90.444;77.998;-4.5
90.282;76.753;-4.5
90.2;75.5;-4.5
90.2;74.244;-4.5
90.281;72.991;-4.5
90.44;71.745;-4.5
90.677;70.512;-4.5
90.993;69.297;-4.5
91.388;68.104;-4.5
91.857;66.94;-4.5
92.399;65.807;-4.5
93.01;64.709;-4.5
93.691;63.654;-4.5
94.438;62.645;-4.5
95.248;61.686;-4.5
96.116;60.778;-4.5
97.039;59.926;-4.5
